Record_ID,Task,Concept,Fuel_type,Brand,Maximum_driving_range,Car_type,Price,Response
1.0,1,1,2,3,1,1,4,0
1.0,1,2,3,4,2,4,2,1
1.0,1,3,4,1,4,3,3,0
1.0,1,4,1,2,3,2,1,0
1.0,2,1,3,1,3,3,4,0
1.0,2,2,2,4,3,1,1,1
1.0,2,3,1,2,2,4,5,0
1.0,2,4,4,1,1,2,2,0
1.0,3,1,1,2,1,3,2,0
1.0,3,2,4,3,2,3,1,0
1.0,3,3,2,2,4,2,3,0
1.0,3,4,2,4,3,4,5,1
1.0,4,1,4,2,1,4,1,0
1.0,4,2,2,1,4,1,2,0
1.0,4,3,1,4,2,3,4,1
1.0,4,4,3,3,1,2,5,0
1.0,5,1,2,4,2,2,3,0
1.0,5,2,3,3,3,4,3,0
1.0,5,3,4,1,1,1,5,1
1.0,5,4,1,4,4,3,1,0
1.0,6,1,2,1,1,4,4,0
1.0,6,2,4,3,4,2,4,1
1.0,6,3,4,2,3,1,2,0
1.0,6,4,1,3,4,1,5,0
1.0,7,1,1,3,3,2,2,1
1.0,7,2,3,2,1,3,3,0
1.0,7,3,2,1,2,4,1,0
1.0,7,4,4,4,4,4,4,0
1.0,8,1,4,4,3,3,5,0
1.0,8,2,1,1,2,2,5,0
1.0,8,3,3,3,4,4,2,0
1.0,8,4,3,2,2,1,4,1
1.0,9,1,3,1,4,1,1,0
1.0,9,2,1,4,1,1,3,1
1.0,9,3,3,2,3,2,4,0
1.0,9,4,2,3,2,3,2,0
1.0,10,1,4,3,2,1,3,0
1.0,10,2,2,2,4,3,5,1
1.0,10,3,3,4,1,2,1,0
1.0,10,4,1,1,3,4,3,0
2.0,1,1,2,1,3,1,3,0
2.0,1,2,3,3,4,2,3,0
2.0,1,3,1,4,2,3,1,1
2.0,1,4,4,2,1,4,5,0
2.0,2,1,3,3,3,4,2,0
2.0,2,2,2,3,2,2,3,0
2.0,2,3,4,1,4,1,1,1
2.0,2,4,1,2,3,3,4,0
2.0,3,1,2,3,1,3,1,0
2.0,3,2,1,1,4,4,2,0
2.0,3,3,2,4,3,2,5,0
2.0,3,4,3,2,2,1,2,1
2.0,4,1,4,4,4,2,2,0
2.0,4,2,2,2,3,1,1,1
2.0,4,3,1,3,1,4,4,0
2.0,4,4,3,3,4,3,5,0
2.0,5,1,3,4,3,4,1,0
2.0,5,2,3,1,2,3,5,0
2.0,5,3,2,2,1,1,2,1
2.0,5,4,4,4,1,3,3,0
2.0,6,1,1,1,1,3,2,0
2.0,6,2,3,4,2,1,4,0
2.0,6,3,2,2,4,4,5,1
2.0,6,4,4,1,3,2,4,0
2.0,7,1,3,2,1,2,4,0
2.0,7,2,4,3,2,4,1,1
2.0,7,3,1,1,3,2,5,0
2.0,7,4,1,4,4,1,3,0
2.0,8,1,1,2,4,2,1,0
2.0,8,2,4,4,1,1,5,0
2.0,8,3,4,3,3,3,2,1
2.0,8,4,2,1,2,4,4,0
2.0,9,1,1,3,2,1,5,0
2.0,9,2,2,4,4,3,4,0
2.0,9,3,4,2,2,3,3,1
2.0,9,4,3,1,1,4,3,0
2.0,10,1,4,3,4,1,4,0
2.0,10,2,1,2,3,4,3,1
2.0,10,3,3,1,1,2,1,0
2.0,10,4,2,4,2,2,2,0
,1,1,1,4,1,4,1,0
,1,2,3,3,3,3,3,1
,1,3,2,2,2,1,5,0
,1,4,4,1,4,2,2,0
,2,1,4,3,4,1,4,0
,2,2,1,2,2,3,4,1
,2,3,3,4,1,4,5,0
,2,4,2,1,3,2,5,0
,3,1,3,1,3,1,4,0
,3,2,2,3,2,2,1,0
,3,3,2,4,4,3,2,1
3.0,3,4,4,1,1,4,3,0
3.0,4,1,3,2,4,2,5,0
3.0,4,2,2,4,1,2,4,0
3.0,4,3,4,2,3,3,2,1
3.0,4,4,1,3,4,1,3,0
3.0,5,1,1,4,3,2,2,0
3.0,5,2,4,3,2,4,5,1
3.0,5,3,3,1,2,1,4,0
3.0,5,4,3,2,1,3,1,0
3.0,6,1,4,3,1,3,4,0
3.0,6,2,2,2,4,4,3,0
3.0,6,3,1,1,3,2,1,1
3.0,6,4,4,4,2,1,1,0
3.0,7,1,4,2,3,4,1,0
3.0,7,2,1,1,1,1,5,0
3.0,7,3,2,3,1,1,2,1
3.0,7,4,3,4,2,2,3,0
3.0,8,1,2,1,2,3,3,0
3.0,8,2,3,2,1,1,2,1
3.0,8,3,1,4,4,4,4,0
3.0,8,4,1,3,3,3,5,0
3.0,9,1,1,3,2,4,2,1
3.0,9,2,4,4,4,3,5,0
3.0,9,3,3,3,4,2,1,0
3.0,9,4,2,2,3,4,4,0
3.0,10,1,1,2,1,2,3,0
3.0,10,2,2,1,4,3,1,1
3.0,10,3,4,4,3,1,3,0
3.0,10,4,3,1,2,4,2,0
4.0,1,1,4,1,1,4,5,0
4.0,1,2,1,4,3,1,4,1
4.0,1,3,3,3,4,3,2,0
4.0,1,4,2,2,2,2,3,0
4.0,2,1,4,1,3,3,1,0
4.0,2,2,3,4,1,1,4,1
4.0,2,3,1,2,1,2,1,0
4.0,2,4,2,3,2,4,4,0
4.0,3,1,1,4,2,3,2,0
4.0,3,2,3,3,3,2,3,0
4.0,3,3,3,2,4,4,4,1
4.0,3,4,2,1,4,1,5,0
4.0,4,1,2,4,1,2,2,0
4.0,4,2,3,1,2,4,1,0
4.0,4,3,4,3,3,1,2,0
4.0,4,4,1,2,4,3,3,1
4.0,5,1,2,3,4,2,4,0
4.0,5,2,2,2,1,4,2,1
4.0,5,3,4,3,2,2,5,0
4.0,5,4,1,4,1,3,5,0
4.0,6,1,1,1,2,1,3,0
4.0,6,2,4,2,4,2,5,0
4.0,6,3,2,1,3,3,4,0
4.0,6,4,3,3,1,4,1,1
4.0,7,1,4,4,4,2,1,0
4.0,7,2,1,3,3,4,5,1
4.0,7,3,3,1,1,1,3,0
4.0,7,4,4,2,2,1,2,0
4.0,8,1,3,2,3,3,5,0
4.0,8,2,2,4,2,3,1,1
4.0,8,3,1,1,1,2,4,0
4.0,8,4,4,4,4,4,3,0
4.0,9,1,4,3,1,3,3,0
4.0,9,2,1,1,4,4,2,1
4.0,9,3,3,4,2,1,5,0
4.0,9,4,2,2,3,1,1,0
4.0,10,1,1,3,4,1,1,0
4.0,10,2,4,2,2,3,4,1
4.0,10,3,2,4,3,4,3,0
4.0,10,4,3,1,3,2,2,0
5.0,1,1,1,3,1,2,3,0
5.0,1,2,3,2,3,1,3,1
5.0,1,3,4,1,4,4,2,0
5.0,1,4,2,4,2,3,5,0
5.0,2,1,3,1,4,2,5,0
5.0,2,2,3,3,3,3,4,1
5.0,2,3,1,4,1,1,2,0
5.0,2,4,2,2,2,4,1,0
5.0,3,1,2,1,3,3,1,0
5.0,3,2,4,2,1,4,4,0
5.0,3,3,3,4,4,1,3,1
5.0,3,4,4,1,3,1,2,0
5.0,4,1,4,4,2,4,3,0
5.0,4,2,1,2,4,3,1,1
5.0,4,3,2,3,3,4,5,0
5.0,4,4,3,1,1,2,4,0
5.0,5,1,2,4,1,3,2,0
5.0,5,2,3,2,2,1,5,0
5.0,5,3,4,3,2,2,1,1
5.0,5,4,1,1,4,4,5,0
5.0,6,1,3,4,3,4,1,0
5.0,6,2,1,1,2,2,4,0
5.0,6,3,1,2,3,2,2,1
5.0,6,4,4,3,4,3,3,0
5.0,7,1,3,3,2,4,2,0
5.0,7,2,4,4,4,3,4,0
5.0,7,3,2,2,3,2,3,1
5.0,7,4,1,3,1,1,5,0
5.0,8,1,2,2,4,1,4,0
5.0,8,2,4,1,1,1,1,0
5.0,8,3,1,1,2,3,3,1
5.0,8,4,3,4,1,2,1,0
5.0,9,1,4,2,1,3,5,0
5.0,9,2,2,3,4,2,2,0
5.0,9,3,2,3,2,1,4,1
5.0,9,4,1,4,3,4,4,0
5.0,10,1,1,3,4,1,1,0
5.0,10,2,2,1,1,4,3,0
5.0,10,3,4,4,3,2,5,0
5.0,10,4,3,2,2,3,2,1
6.0,1,1,3,2,4,4,3,1
6.0,1,2,1,4,1,3,1,0
6.0,1,3,2,1,2,1,2,0
6.0,1,4,4,3,4,2,5,0
6.0,2,1,2,1,3,3,3,0
6.0,2,2,3,3,3,2,4,1
6.0,2,3,1,2,2,1,5,0
6.0,2,4,3,1,1,4,1,0
6.0,3,1,1,3,1,1,3,0
6.0,3,2,1,2,2,2,1,0
6.0,3,3,2,4,3,4,5,1
6.0,3,4,4,1,4,3,2,0
6.0,4,1,4,3,3,3,5,0
6.0,4,2,3,3,2,4,2,0
6.0,4,3,2,2,1,2,5,0
6.0,4,4,1,4,3,1,4,1
6.0,5,1,1,1,4,2,4,0
6.0,5,2,2,3,1,4,4,0
6.0,5,3,4,2,3,4,1,0
6.0,5,4,3,4,2,3,3,1
6.0,6,1,1,2,3,4,2,0
6.0,6,2,3,1,4,1,5,0
6.0,6,3,4,4,2,2,3,1
6.0,6,4,2,3,1,2,2,0
6.0,7,1,2,3,2,3,1,0
6.0,7,2,1,4,4,3,2,1
6.0,7,3,4,1,1,2,1,0
6.0,7,4,4,2,3,1,4,0
6.0,8,1,3,4,3,2,2,0
6.0,8,2,4,2,1,1,3,0
6.0,8,3,2,2,4,3,4,1
6.0,8,4,1,1,2,4,5,0
6.0,9,1,4,4,1,1,2,0
6.0,9,2,2,4,4,1,1,1
6.0,9,3,3,1,2,3,4,0
6.0,9,4,1,3,4,4,3,0
6.0,10,1,4,4,2,4,4,0
6.0,10,2,2,1,3,2,3,0
6.0,10,3,3,3,4,1,1,0
6.0,10,4,3,2,1,3,5,1
7.0,1,1,1,2,2,3,5,1
7.0,1,2,3,2,4,1,3,0
7.0,1,3,4,4,3,4,2,0
7.0,1,4,2,1,1,2,1,0
7.0,2,1,4,4,3,2,3,0
7.0,2,2,1,1,1,4,1,1
7.0,2,3,2,2,1,2,5,0
7.0,2,4,3,3,2,1,4,0
7.0,3,1,3,4,1,4,5,0
7.0,3,2,1,3,3,3,4,0
7.0,3,3,1,1,4,2,3,0
7.0,3,4,2,2,2,1,2,1
7.0,4,1,3,1,1,3,2,0
7.0,4,2,2,4,4,3,2,1
7.0,4,3,4,3,3,4,1,0
7.0,4,4,3,2,2,4,3,0
7.0,5,1,2,1,3,1,5,0
7.0,5,2,4,2,1,4,4,1
7.0,5,3,1,3,4,2,5,0
